α,tmax,x0,δ,β,mean_prey,min_prey,γ,min_predator,y0,mean_predator,max_predator,x_star,y_star,max_prey
0.05,200.0,40.0,0.01,0.02,28.68139579784699,13.094342953930772,0.3,0.20280020257974649,9.0,2.735004988362667,9.930755581173983,30.0,2.5,57.46338290456785
0.1,200.0,40.0,0.01,0.02,29.70386438123944,17.753898747815338,0.3,1.8951926255322733,9.0,5.2073862382829725,10.414766840809568,30.0,5.0,46.888546407078685
0.15,200.0,40.0,0.01,0.02,29.670338334316902,21.154942870252462,0.3,4.521607881720461,9.0,7.581376877190302,11.565492606007073,30.0,7.5,41.020861413532494
0.2,200.0,40.0,0.01,0.02,29.871609746309467,21.544645059110525,0.3,6.632893003750009,9.0,10.09595414762677,14.350052605000528,30.0,10.0,40.42212886881208
0.1,200.0,40.0,0.01,0.01,30.122555809959884,21.68307718254017,0.3,5.568438833904578,9.0,10.299924950645739,16.32305260670409,30.0,10.0,40.21241843885968
0.1,200.0,40.0,0.01,0.015,29.78761544167723,20.619090997660397,0.3,3.3765972190791267,9.0,6.885951647487451,11.61107960666234,30.0,6.666666666666667,41.8687904605904
0.1,200.0,40.0,0.01,0.02,29.70386438123944,17.753898747815338,0.3,1.8951926255322733,9.0,5.2073862382829725,10.414766840809568,30.0,5.0,46.888546407078685
0.1,200.0,40.0,0.01,0.025,29.859012147735726,15.034400068570262,0.3,1.0849161106684433,9.0,4.1802309595366625,9.948247236249488,30.0,4.0,52.612651950258886
0.1,200.0,40.0,0.01,0.03,30.051289146639082,12.7375351438529,0.3,0.6388590041884521,9.0,3.3867077333598687,9.708770150422309,30.0,3.3333333333333335,58.442162153198005
0.1,200.0,40.0,0.005,0.02,58.72736226192002,33.37112862500343,0.3,1.6750885811619918,9.0,5.0132552071793635,11.149859542606915,60.0,5.0,98.0246189228925
0.1,200.0,40.0,0.01,0.02,29.70386438123944,17.753898747815338,0.3,1.8951926255322733,9.0,5.2073862382829725,10.414766840809568,30.0,5.0,46.888546407078685
0.1,200.0,40.0,0.015,0.02,19.53570441937607,7.2466190657516965,0.3,0.6786868640815023,9.0,5.011956502576909,16.688353679462264,20.0,5.0,42.737628794982456
0.1,200.0,40.0,0.02,0.02,14.610523199181115,3.2067545869664236,0.3,0.19775295475837967,9.0,5.586795455664615,24.241133102910112,15.0,5.0,41.67715032875906
0.1,200.0,40.0,0.01,0.02,20.25325681478975,6.860690450943198,0.2,0.9796697345769977,9.0,5.136653844108838,14.428386889916599,20.0,5.0,44.05123938444152
0.1,200.0,40.0,0.01,0.02,24.152909291422453,11.979193905603985,0.25,1.4311249995745292,9.0,5.064676891134461,12.10803164787561,25.0,5.0,45.14696064028242
0.1,200.0,40.0,0.01,0.02,29.70386438123944,17.753898747815338,0.3,1.8951926255322733,9.0,5.2073862382829725,10.414766840809568,30.0,5.0,46.888546407078685
0.1,200.0,40.0,0.01,0.02,34.61133415278064,23.48700366039915,0.35,2.265054853289083,9.0,4.953780363345566,9.358492293168325,35.0,5.0,49.7602118150307
0.1,200.0,40.0,0.01,0.02,39.69856422240174,28.345070412007242,0.4,2.4081303598027275,9.0,5.090877686888772,9.0,40.0,5.0,54.48094702179038
